company,contact_name,email,website,country,industry,source,tier,position,department,confidence,verification_status
ELMER Group,,,"elmer.de",德国,HVAC分销,hunter.io,Tier2,,,,,
Alois Müller GmbH,,,"mueller-gmbh.de",德国,HVAC安装,hunter.io,Tier2,,,,,
WOLF GmbH,,,"wolf-heiztechnik.de",德国,暖通设备,hunter.io,Tier2,,,,,
Stiebel Eltron,,,"stiebel-eltron.de",德国,热泵,hunter.io,Tier1,,,,,
ELCO Heating Solutions,,,"elco.net",德国,暖通设备,hunter.io,Tier2,,,,,
Buderus,,,"buderus.de",德国,锅炉,hunter.io,Tier1,,,,,
Max Weishaupt GmbH,,,"weishaupt.de",德国,燃烧器,hunter.io,Tier2,,,,,
Brötje,,,"broetje.de",德国,暖通设备,hunter.io,Tier2,,,,,
ATLANTIC GROUP,,,"atlantic.fr",法国,暖通设备,hunter.io,Tier1,,,,,
Aldes,,,"aldes.fr",法国,通风,hunter.io,Tier2,,,,,
De Dietrich Thermiques,,,"dedietrich-thermique.fr",法国,锅炉,hunter.io,Tier1,,,,,
Saunier Duval,,,"saunierduval.fr",法国,暖通设备,hunter.io,Tier1,,,,,
Chaffoteaux,,,"chaffoteaux.fr",法国,锅炉,hunter.io,Tier2,,,,,
Giordano,,,"giordano.fr",法国,太阳能,hunter.io,Tier2,,,,,
HT SpA,,,"ht-spa.com",意大利,暖通设备,hunter.io,Tier1,,,,,
Riello (Carrier),,"riello.it",意大利,燃烧器,hunter.io,Tier1,,,,,
Ariston,,,"ariston.com",意大利,热水/hvac,hunter.io,Tier1,,,,,
Ferroli,,,"ferroli.com",意大利,锅炉,hunter.io,Tier1,,,,,
Baxi Italy,,,"baxi.it",意大利,锅炉,hunter.io,Tier1,,,,,
Clivet,,,"clivet.com",意大利,空调,hunter.io,Tier2,,,,,
Aermec,,,"aermec.com",意大利,暖通设备,hunter.io,Tier2,,,,,
Unical,,,"unical.it",意大利,锅炉,hunter.io,Tier2,,,,,
Sime,,,"sime.it",意大利,锅炉,hunter.io,Tier2,,,,,
Hitecsa,,,"hitecsa.com",西班牙,空调,hunter.io,Tier2,,,,,
Baxi Spain,,,"baxi.es",西班牙,锅炉,hunter.io,Tier1,,,,,
Salvador Escoda,,,"salvadorescoda.com",西班牙,暖通分销,hunter.io,Tier1,,,,,
Thermor Spain,,,"thermor.es",西班牙,暖通设备,hunter.io,Tier2,,,,,
General Climate Spain,,,"general-hvac.com",西班牙,空调,hunter.io,Tier2,,,,,
BDR Thermea Group,,,"bdrthermea.com",荷兰,锅炉/hvac,hunter.io,Tier1,,,,,
Heinen & Hopman,,,"heinenhopman.com",荷兰,HVAC工程,hunter.io,Tier2,,,,,
Eco Steam and Heating Solutions,,,"ecosteam.nl",荷兰,暖通设备,hunter.io,Tier2,,,,,
Fortes Energy,,,"fortesenergy.com",荷兰,HVAC,hunter.io,Tier2,,,,,
VDL Klima,,,"vdlklima.nl",荷兰,空调,hunter.io,Tier2,,,,,
Coolmark B.V.,,"coolmark.nl",荷兰,HVAC分销,hunter.io,Tier2,,,,,
Gafco B.V.,,"gafco.nl",荷兰,HVAC分销,hunter.io,Tier2,,,,,
Cairox,,,"cairox.com",比利时,HVAC分销,hunter.io,Tier2,,,,,
Remeha (BDR),,"remeha.nl",荷兰,锅炉,hunter.io,Tier1,,,,,
Brink Climate Systems,,,"brinkclimate.com",荷兰,通风/hvac,hunter.io,Tier2,,,,,
Nibe Energy Systems (NL),,"nibe.nl",荷兰,热泵,hunter.io,Tier1,,,,,
Techneco,,,"techneco.nl",荷兰,热泵,hunter.io,Tier2,,,,,
Radson,,,"radson.be",比利时,散热器,hunter.io,Tier2,,,,,
Purmo Group,,,"purmo.com",比利时,散热器,hunter.io,Tier1,,,,,
ACV International,,,"acv.com",比利时,锅炉/hvac,hunter.io,Tier2,,,,,
